Object_Type,Name,Latitude,Longitude
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.6047421,-34.92142189
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.6046833,-34.92142342
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.6046194,-34.92142754
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.6020746,-34.92155682
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.6020634,-34.92155711
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.6020511,-34.9215572
Bike Rack,Bike Rack on GAWLER PL (1237); it's a U Shape type,138.6019259,-34.92184476
Bike Rack,Bike Rack on GAWLER PL (1237); it's a U Shape type,138.6019433,-34.92212403
Bike Rack,Bike Rack on STEPHENS PL (1445); it's a U Shape type,138.601196,-34.92277844
Bike Rack,Bike Rack on STEPHENS PL (1445); it's a U Shape type,138.6011972,-34.92280055
Bike Rack,Bike Rack on STEPHENS PL (1445); it's a U Shape type,138.6011953,-34.92276003
Bike Rack,Bike Rack on CARRINGTON ST (1160); it's a U Shape type,138.6018889,-34.93149969
Bike Rack,Bike Rack on CARRINGTON ST (1160); it's a U Shape type,138.6019112,-34.93149878
Bike Rack,Bike Rack on CARRINGTON ST (1160); it's a U Shape type,138.6018652,-34.93135446
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.6011385,-34.92996634
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.6011751,-34.92996706
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.6010468,-34.92996958
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.6012088,-34.9299652
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.6065861,-34.92987082
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6061488,-34.9288758
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6061492,-34.92890083
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6061881,-34.92938825
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6107105,-34.92795246
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6107351,-34.92795051
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6107583,-34.92794862
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6107814,-34.92794791
Bike Rack,Bike Rack on GILLES ST (1244); it's a U Shape type,138.6121194,-34.93364356
Bike Rack,Bike Rack on HUTT ST (1286); it's a Circular type,138.6122275,-34.93345177
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.5955755,-34.92187884
Bike Rack,Bike Rack on BANK ST (1127); it's a Circular type,138.5975218,-34.92190538
Bike Rack,Bike Rack on BANK ST (1127); it's a Circular type,138.5975235,-34.92184583
Bike Rack,Bike Rack on KING WILLIAM RD DSC (1300); it's a U Shape type,138.5986425,-34.91466846
Bike Rack,Bike Rack on NORTH TCE DSC (1364); it's a U Shape type,138.6087276,-34.92093758
Bike Rack,Bike Rack on NORTH TCE DSC (1364); it's a U Shape type,138.6104003,-34.92082067
Bike Rack,Bike Rack on NORTH TCE DSC (1364); it's a U Shape type,138.6104297,-34.92082192
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a Circular type,138.6059085,-34.92137759
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a Circular type,138.6030044,-34.92833941
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6029678,-34.9283433
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6056967,-34.92658516
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6057023,-34.92667342
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6057029,-34.9266519
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6056987,-34.92662759
Bike Rack,Bike Rack on FREEMASONS LN (1858); it's a U Shape type,138.6029681,-34.92626319
Bike Rack,Bike Rack on FREEMASONS LN (1858); it's a U Shape type,138.6028879,-34.92626699
Bike Rack,Bike Rack on FREEMASONS LN (1858); it's a U Shape type,138.6029325,-34.92626431
Bike Rack,Bike Rack on FREEMASONS LN (1858); it's a U Shape type,138.6028568,-34.92626772
Bike Rack,Bike Rack on FLINDERS ST (1225); it's a U Shape type,138.6020095,-34.92695376
Bike Rack,Bike Rack on FLINDERS ST (1225); it's a U Shape type,138.6019583,-34.9269587
